Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,,count.words.withUnit.many,,,,
FALSE,,count.words.withUnit.other,{WORDS} words,{WORDS} words,,
FALSE,,count.years,{YEARS},{YEARS},,
FALSE,,count.years.withUnit.zero,,,,
FALSE,,count.years.withUnit.one,{YEARS} year,{YEARS} year,,
FALSE,,count.years.withUnit.two,,,,
FALSE,,count.years.withUnit.few,,,,
FALSE,,count.years.withUnit.many,,,,
FALSE,,count.years.withUnit.other,{YEARS} years,{YEARS} years,,
FALSE,,count.duration.missing,_:__,_:__,,
FALSE,,count.duration.approximate,~{DURATION},~{DURATION},,
FALSE,,count.duration.hours,{HOURS}:{MINUTES}:{SECONDS},{HOURS}:{MINUTES}:{SECONDS},,
FALSE,,count.duration.hours.withUnit,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} hours,,
FALSE,,count.duration.minutes,{MINUTES}:{SECONDS},{MINUTES}:{SECONDS},,
FALSE,,count.duration.minutes.withUnit,{MINUTES}:{SECONDS} minutes,{MINUTES}:{SECONDS} minutes,,
FALSE,,count.dateDuration.earlier,{DURATION} earlier,{DURATION} earlier,{DURATION}前,
FALSE,,count.dateDuration.later,{DURATION} later,{DURATION} later,{DURATION}後,
FALSE,,count.dateDuration.same,on the same date,on the same date,当日,
FALSE,,count.dateDuration.zero,at most one day,at most one day,一日以下,
FALSE,,count.dateDuration.approximate,about {DURATION},about {DURATION},{DURATION}ぐらい,
FALSE,,count.dateDuration.approximateEarlier,about {DURATION} earlier,about {DURATION} earlier,,
FALSE,,count.dateDuration.approximateLater,about {DURATION} later,about {DURATION} later,,
FALSE,,count.dateDuration.relativeAbsolute,{ABSOLUTE}; {RELATIVE},{ABSOLUTE}; {RELATIVE},{ABSOLUTE}（{RELATIVE}）,
FALSE,,count.dateDuration.years,{YEARS},{YEARS},,
FALSE,,count.dateDuration.months,{MONTHS},{MONTHS},,
FALSE,,count.dateDuration.days,{DAYS},{DAYS},,
FALSE,,count.dateDuration.yearsMonthsDays,"{YEARS}, {MONTHS}, {DAYS}","{YEARS}, {MONTHS}, {DAYS}",,
FALSE,,count.dateDuration.yearsMonths,"{YEARS}, {MONTHS}","{YEARS}, {MONTHS}",,
FALSE,,count.dateDuration.yearsDays,"{YEARS}, {DAYS}","{YEARS}, {DAYS}",,
FALSE,,count.dateDuration.monthsDays,"{MONTHS}, {DAYS}","{MONTHS}, {DAYS}",,
FALSE,,count.fileSize.terabytes,{TERABYTES} TB,{TERABYTES} TB,,
FALSE,,count.fileSize.gigabytes,{GIGABYTES} GB,{GIGABYTES} GB,,
FALSE,,count.fileSize.megabytes,{MEGABYTES} MB,{MEGABYTES} MB,,
FALSE,,count.fileSize.kilobytes,{KILOBYTES} kB,{KILOBYTES} kB,,
FALSE,,count.fileSize.bytes,{BYTES} bytes,{BYTES} bytes,,
FALSE,,count.index.zero,,,,
FALSE,,count.index.one,{INDEX}st,{INDEX}st,,
FALSE,,count.index.two,{INDEX}nd,{INDEX}nd,,
FALSE,,count.index.few,{INDEX}rd,{INDEX}rd,,
FALSE,,count.index.many,,,,
FALSE,Nasado,count.index.other,{INDEX}th,{INDEX}th,第{INDEX},
FALSE,Nasado,releaseInfo.by,By {ARTISTS}.,By {ARTISTS}.,{ARTISTS}に作られた。,
FALSE,,releaseInfo.by.featuring,"By {ARTISTS}, featuring {FEATURING}.","By {ARTISTS}, featuring {FEATURING}.",,
FALSE,Nasado,releaseInfo.from,From {ALBUM}.,From {ALBUM}.,{ALBUM}でリリースされた。,
FALSE,,releaseInfo.coverArtBy,Cover art by {ARTISTS}.,Cover art by {ARTISTS}.,,
FALSE,Nasado,releaseInfo.wallpaperArtBy,Wallpaper art by {ARTISTS}.,Wallpaper art by {ARTISTS}.,壁紙は{ARTISTS}に描かれた。,
FALSE,,releaseInfo.bannerArtBy,Banner art by {ARTISTS}.,Banner art by {ARTISTS}.,,
FALSE,,releaseInfo.released,Released {DATE}.,Released {DATE}.,,
FALSE,,releaseInfo.artReleased,Art released {DATE}.,Art released {DATE}.,,
FALSE,,releaseInfo.addedToWiki,Added to wiki {DATE}.,Added to wiki {DATE}.,,
FALSE,,releaseInfo.duration,Duration: {DURATION}.,Duration: {DURATION}.,,
FALSE,,releaseInfo.contributors,Contributors:,Contributors:,,
FALSE,Nasado,releaseInfo.lyrics,Lyrics:,Lyrics:,歌詞：,
FALSE,Nasado,releaseInfo.note,Context notes:,Context notes:,背景ノート：,
FALSE,,releaseInfo.alsoReleasedAs,Also released as:,Also released as:,,
FALSE,,releaseInfo.alsoReleasedAs.item,{TRACK} ({ALBUM}),{TRACK} ({ALBUM}),,
FALSE,,releaseInfo.alsoReleasedAs.item.withYear,({YEAR}) {TRACK} ({ALBUM}),({YEAR}) {TRACK} ({ALBUM}),,
FALSE,,releaseInfo.tracksReferenced,Tracks that {TRACK} references:,Tracks that {TRACK} references:,,
FALSE,,releaseInfo.tracksReferenced.sticky,Tracks that this one references:,Tracks that this one references:,,
FALSE,,releaseInfo.tracksSampled,Tracks that {TRACK} samples:,Tracks that {TRACK} samples:,,
FALSE,,releaseInfo.tracksSampled.sticky,Tracks that this one samples:,Tracks that this one samples:,,
FALSE,,releaseInfo.tracksThatReference,Tracks that reference {TRACK}:,Tracks that reference {TRACK}:,,
FALSE,,releaseInfo.tracksThatReference.sticky,Tracks that reference this one:,Tracks that reference this one:,,
FALSE,,releaseInfo.tracksThatReference.sticky.fromGroup,Tracks from {GROUP} that reference this one:,Tracks from {GROUP} that reference this one:,,
FALSE,,releaseInfo.tracksThatReference.sticky.fromOther,Tracks from somewhere else that reference this one:,Tracks from somewhere else that reference this one:,,
FALSE,,releaseInfo.tracksThatSample,Tracks that sample {TRACK}:,Tracks that sample {TRACK}:,,
FALSE,,releaseInfo.tracksThatSample.sticky,Tracks that sample this one:,Tracks that sample this one:,,
FALSE,,releaseInfo.tracksThatSample.sticky.fromGroup,Tracks from {GROUP} that sample this one:,Tracks from {GROUP} that sample this one:,,
FALSE,,releaseInfo.tracksThatSample.sticky.fromOther,Tracks from somewhere else that sample this one:,Tracks from somewhere else that sample this one:,,
FALSE,,releaseInfo.flashesThatFeature,Flashes & games that feature {TRACK}:,Flashes & games that feature {TRACK}:,,
FALSE,,releaseInfo.flashesThatFeature.sticky,Flashes & games that feature this track:,Flashes & games that feature this track:,,
FALSE,,releaseInfo.flashesThatFeature.item,{FLASH},{FLASH},,
