Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
TRUE,"Niklink, Cello",count.timesReferenced.withUnit.other,{TIMES_REFERENCED} times referenced,{TIMES_REFERENCED} times referenced,referenciado {TIMES_REFERENCED} veces,
TRUE,"Niklink, Cello",count.timesUsed,{TIMES_USED},{TIMES_USED},{TIMES_USED},
TRUE,"Niklink, Cello",count.timesUsed.withUnit.zero,,,,
TRUE,"Niklink, Cello",count.timesUsed.withUnit.one,used {TIMES_USED} time,used {TIMES_USED} time,usado {TIMES_USED} vez,
TRUE,"Niklink, Cello",count.timesUsed.withUnit.two,,,,
TRUE,"Niklink, Cello",count.timesUsed.withUnit.few,,,,
TRUE,"Niklink, Cello",count.timesUsed.withUnit.many,,,,
TRUE,"Niklink, Cello",count.timesUsed.withUnit.other,used {TIMES_USED} times,used {TIMES_USED} times,usado {TIMES_USED} veces,
FALSE,Cello,count.weeks,{WEEKS},{WEEKS},{WEEKS},
TRUE,,count.weeks.withUnit.zero,,,,
FALSE,Cello,count.weeks.withUnit.one,{WEEKS} week,{WEEKS} week,{WEEKS} semana,
TRUE,,count.weeks.withUnit.two,,,,
TRUE,,count.weeks.withUnit.few,,,,
TRUE,,count.weeks.withUnit.many,,,,
FALSE,Cello,count.weeks.withUnit.other,{WEEKS} weeks,{WEEKS} weeks,{WEEKS} semanas,
TRUE,"Niklink, Cello",count.words,{WORDS},{WORDS},{WORDS},
TRUE,"Niklink, Cello",count.words.thousand,{WORDS}k,{WORDS}k,{WORDS} mil,
TRUE,"Niklink, Cello",count.words.withUnit.zero,,,,
TRUE,"Niklink, Cello",count.words.withUnit.one,{WORDS} word,{WORDS} word,{WORDS} palabra,
TRUE,"Niklink, Cello",count.words.withUnit.two,,,,
TRUE,"Niklink, Cello",count.words.withUnit.few,,,,
TRUE,"Niklink, Cello",count.words.withUnit.many,,,,
TRUE,"Niklink, Cello",count.words.withUnit.other,{WORDS} words,{WORDS} words,{WORDS} palabras,
FALSE,Cello,count.years,{YEARS},{YEARS},{YEARS},
TRUE,,count.years.withUnit.zero,,,,
FALSE,Cello,count.years.withUnit.one,{YEARS} year,{YEARS} year,{YEARS} año,
TRUE,,count.years.withUnit.two,,,,
TRUE,,count.years.withUnit.few,,,,
TRUE,,count.years.withUnit.many,,,,
FALSE,Cello,count.years.withUnit.other,{YEARS} years,{YEARS} years,{YEARS} años,
TRUE,"Niklink, Cello",count.duration.missing,_:__,_:__,_:__,
TRUE,"Niklink, Cello",count.duration.approximate,~{DURATION},~{DURATION},~{DURATION},
TRUE,"Niklink, Cello",count.duration.hours,{HOURS}:{MINUTES}:{SECONDS},{HOURS}:{MINUTES}:{SECONDS},{HOURS}:{MINUTES}:{SECONDS},
TRUE,"Niklink, Cello",count.duration.hours.withUnit,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} horas,
TRUE,"Niklink, Cello",count.duration.minutes,{MINUTES}:{SECONDS},{MINUTES}:{SECONDS},{MINUTES}:{SECONDS},
TRUE,"Niklink, Cello",count.duration.minutes.withUnit,{MINUTES}:{SECONDS} minutes,{MINUTES}:{SECONDS} minutes,{MINUTES}:{SECONDS} minutos,
FALSE,Cello,count.dateDuration.earlier,{DURATION} earlier,{DURATION} earlier,antes de {DURATION},
FALSE,Cello,count.dateDuration.later,{DURATION} later,{DURATION} later,después de {DURATION},
FALSE,Cello,count.dateDuration.same,on the same date,on the same date,en la misma fecha,
FALSE,Cello,count.dateDuration.zero,at most one day,at most one day,máximo un dia,
FALSE,Cello,count.dateDuration.approximate,about {DURATION},about {DURATION},cerca de {DURATION},
FALSE,Cello,count.dateDuration.approximateEarlier,about {DURATION} earlier,about {DURATION} earlier,un poco mas temprano que {DURATION},
FALSE,Cello,count.dateDuration.approximateLater,about {DURATION} later,about {DURATION} later,un poco mas tarde que {DURATION},
TRUE,Cello,count.dateDuration.relativeAbsolute,{ABSOLUTE}; {RELATIVE},{ABSOLUTE}; {RELATIVE},{ABSOLUTE}; {RELATIVE},
TRUE,Cello,count.dateDuration.years,{YEARS},{YEARS},{YEARS},
TRUE,Cello,count.dateDuration.months,{MONTHS},{MONTHS},{MONTHS},
TRUE,Cello,count.dateDuration.days,{DAYS},{DAYS},{DAYS},
TRUE,Cello,count.dateDuration.yearsMonthsDays,"{YEARS}, {MONTHS}, {DAYS}","{YEARS}, {MONTHS}, {DAYS}","{YEARS}, {MONTHS}, {DAYS}",
TRUE,Cello,count.dateDuration.yearsMonths,"{YEARS}, {MONTHS}","{YEARS}, {MONTHS}","{YEARS}, {MONTHS}",
TRUE,Cello,count.dateDuration.yearsDays,"{YEARS}, {DAYS}","{YEARS}, {DAYS}","{YEARS}, {DAYS}",
TRUE,Cello,count.dateDuration.monthsDays,"{MONTHS}, {DAYS}","{MONTHS}, {DAYS}","{MONTHS}, {DAYS}",
TRUE,"Cello, Niklink",count.fileSize.terabytes,{TERABYTES} TB,{TERABYTES} TB,{TERABYTES} TB,
TRUE,"Cello, Niklink",count.fileSize.gigabytes,{GIGABYTES} GB,{GIGABYTES} GB,{GIGABYTES} GB,
TRUE,"Cello, Niklink",count.fileSize.megabytes,{MEGABYTES} MB,{MEGABYTES} MB,{MEGABYTES} MB,
