Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
FALSE,Cello,misc.artistLink.chronology.next.info,Next by this artist,Next by this artist,Siguiente por este artista,
FALSE,Cello,misc.artistLink.chronology.next.info.withKind,Next {KIND} by this artist,Next {KIND} by this artist,Siguiente {KIND} por este artista,
FALSE,Cello,misc.artistLink.chronology.kind.album,album,album,album,
FALSE,Cello,misc.artistLink.chronology.kind.bannerArt,banner art,banner art,carátula del álbum,
FALSE,Cello,misc.artistLink.chronology.kind.coverArt,cover art,cover art,banner del álbum,
FALSE,Cello,misc.artistLink.chronology.kind.flash,flash,flash,flash,
FALSE,Cello,misc.artistLink.chronology.kind.track,track,track,pista,
FALSE,Cello,misc.artistLink.chronology.kind.trackArt,track art,track art,arte de pista,
FALSE,Cello,misc.artistLink.chronology.kind.trackContribution,track contribution,track contribution,contribución de pista,
FALSE,Cello,misc.artistLink.chronology.kind.wallpaperArt,wallpaper art,wallpaper art,wallpaper del arte,
TRUE,"Niklink, Cello",misc.chronology.seeArtistPages,(See artist pages for chronology info!),(See artist pages for chronology info!),¡Vea las páginas de los artistas para la información cronológica!,(no longer used) -whis
TRUE,Cello,misc.chronology.withNavigation,{HEADING} ({NAVIGATION}),{HEADING} ({NAVIGATION}),{HEADING} ({NAVIGATION}),(no longer used) -whis
TRUE,"Niklink, Cello",misc.chronology.heading.coverArt,{INDEX} cover art by {ARTIST},{INDEX} cover art by {ARTIST},{INDEX} carátula por {ARTIST},(no longer used) -whis
TRUE,"Niklink, Cello",misc.chronology.heading.flash,{INDEX} flash/game by {ARTIST},{INDEX} flash/game by {ARTIST},{INDEX} flash/juego por {ARTIST},(no longer used) -whis
TRUE,"Niklink, Cello",misc.chronology.heading.track,{INDEX} track by {ARTIST},{INDEX} track by {ARTIST},{INDEX} pista por {ARTIST},(no longer used) -whis
FALSE,Cello,misc.chronology.heading.trackArt,{INDEX} track art by {ARTIST},{INDEX} track art by {ARTIST},{INDEX} arte de pista por {ARTIST},(no longer used) -whis
FALSE,Cello,misc.chronology.heading.onlyIndex,Only,Only,Solo,(no longer used) -whis
FALSE,Cello,misc.creditSources,Crediting sources:,Crediting sources:,Fuente de créditos:,
TRUE,"Niklink, Cello",misc.external.external,External,External,Externo,
TRUE,Cello,misc.external.withDomain,{PLATFORM} ({DOMAIN}),{PLATFORM} ({DOMAIN}),{PLATFORM} ({DOMAIN}),
TRUE,Cello,misc.external.withHandle,{PLATFORM} ({HANDLE}),{PLATFORM} ({HANDLE}),{PLATFORM} ({HANDLE}),
TRUE,Cello,misc.external.opensInNewTab,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),
FALSE,Cello,misc.external.opensInNewTab.annotation,opens in new tab,opens in new tab,abre en una nueva pestaña,
TRUE,Cello,misc.external.invalidURL,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),
FALSE,Cello,misc.external.invalidURL.annotation,invalid URL,invalid URL,URL invalida,
TRUE,Cello,misc.external.amazonMusic,Amazon Music,Amazon Music,Amazon Music,
TRUE,Cello,misc.external.appleMusic,Apple Music,Apple Music,Apple Music,
TRUE,Cello,misc.external.artstation,ArtStation,ArtStation,ArtStation,
TRUE,"Niklink, Cello",misc.external.bandcamp,Bandcamp,Bandcamp,Bandcamp,
TRUE,Cello,misc.external.bgreco,bgreco.net,bgreco.net,bgreco.net,
TRUE,"Niklink, Cello",misc.external.bgreco.flash,bgreco.net (high quality audio),bgreco.net (high quality audio),bgreco.net (Audio de alta calidad),
TRUE,Cello,misc.external.bluesky,Bluesky,Bluesky,Bluesky,
TRUE,Cello,misc.external.carrd,Carrd,Carrd,Carrd,
TRUE,Cello,misc.external.cohost,Cohost,Cohost,Cohost,
TRUE,Cello,misc.external.deconreconstruction,Deconreconstruction,Deconreconstruction,Deconreconstruction,
TRUE,Cello,misc.external.deconreconstruction.music,MUSIC@DCRC,MUSIC@DCRC,MUSIC@DCRC,
TRUE,"Niklink, Cello",misc.external.deviantart,DeviantArt,DeviantArt,DeviantArt,
TRUE,Cello,misc.external.facebook,Facebook,Facebook,Facebook,
TRUE,Cello,misc.external.fandom,Fandom,Fandom,Fandom,
TRUE,Cello,misc.external.fandom.mspaintadventures,MSPA Wiki,MSPA Wiki,MSPA Wiki,
TRUE,Cello,misc.external.fandom.mspaintadventures.page,MSPA Wiki ({PAGE}),MSPA Wiki ({PAGE}),MSPA Wiki ({PAGE}),
TRUE,Cello,misc.external.gamebanana,GameBanana,GameBanana,GameBanana,
TRUE,Cello,misc.external.homestuck,Homestuck,Homestuck,Homestuck,
TRUE,"Niklink, Cello",misc.external.homestuck.page,Homestuck (page {PAGE}),Homestuck (page {PAGE}),Homestuck (página {PAGE}),
TRUE,"Niklink, Cello",misc.external.homestuck.secretPage,Homestuck (secret page),Homestuck (secret page),Homestuck (página secreta),
TRUE,Cello,misc.external.hsmusic,HSMusic,HSMusic,HSMusic,
FALSE,Cello,misc.external.hsmusic.archive,HSMusic (wiki archive),HSMusic (wiki archive),HSMusic (archivo de la wikia),
TRUE,"Niklink, Cello",misc.external.instagram,Instagram,Instagram,Instagram,
TRUE,Cello,misc.external.internetArchive,Internet Archive,Internet Archive,Internet Archive,
TRUE,Cello,misc.external.itch,itch.io,itch.io,itch.io,
TRUE,Cello,misc.external.kofi,Ko-fi,Ko-fi,Ko-fi,
TRUE,Cello,misc.external.linktree,Linktree,Linktree,Linktree,
TRUE,"Niklink, Cello",misc.external.mastodon,Mastodon,Mastodon,Mastodon,
TRUE,Cello,misc.external.mspfa,MSPFA,MSPFA,MSPFA,
TRUE,Cello,misc.external.neocities,Neocities,Neocities,Neocities,
TRUE,Cello,misc.external.newgrounds,Newgrounds,Newgrounds,Newgrounds,
TRUE,"Niklink, Cello",misc.external.patreon,Patreon,Patreon,Patreon,
TRUE,"Niklink, Cello",misc.external.poetryFoundation,Poetry Foundation,Poetry Foundation,Poetry Foundation,
TRUE,"Niklink, Cello",misc.external.soundcloud,SoundCloud,SoundCloud,SoundCloud,
TRUE,Cello,misc.external.spotify,Spotify,Spotify,Spotify,
TRUE,Cello,misc.external.steam,Steam,Steam,Steam,
TRUE,Cello,misc.external.tiktok,TikTok,TikTok,TikTok,
TRUE,Cello,misc.external.toyhouse,Toyhouse,Toyhouse,Toyhouse,
TRUE,"Niklink, Cello",misc.external.tumblr,Tumblr,Tumblr,Tumblr,
TRUE,Cello,misc.external.twitch,Twitch,Twitch,Twitch,
TRUE,"Niklink, Cello",misc.external.twitter,Twitter,Twitter,Twitter,
TRUE,Cello,misc.external.waybackMachine,Wayback Machine,Wayback Machine,Wayback Machine,
TRUE,"Niklink, Cello",misc.external.wikipedia,Wikipedia,Wikipedia,Wikipedia,
TRUE,"Niklink, Cello",misc.external.youtube,YouTube,YouTube,YouTube,
TRUE,"Niklink, Cello",misc.external.youtube.flash,YouTube (on any device),YouTube (on any device),YouTube (en cualquier dispositivo),
TRUE,"Niklink, Cello",misc.external.youtube.playlist,YouTube (playlist),YouTube (playlist),YouTube (lista de reproducción),
TRUE,"Niklink, Cello",misc.external.youtube.fullAlbum,YouTube (full album),YouTube (full album),YouTube (álbum completo),
FALSE,Cello,misc.missingImage,(This image file is missing),(This image file is missing),(Falta este archivo de imagen),
FALSE,Cello,misc.missingLinkContent,(Missing link content),(Missing link content),(Falta link al contenido),
TRUE,Cello,misc.navAccent,({LINKS}),({LINKS}),({LINKS}),
FALSE,Cello,misc.quickDescription.readMore,Read more on {LINKS}.,Read more on {LINKS}.,Lea mas en {LINKS}.,
TRUE,Cello,misc.quickDescription.moreInfo,({LINK}),({LINK}),({LINK}),
FALSE,Cello,misc.quickDescription.moreInfo.link,More info...,More info...,Mas informacion...,
TRUE,Cello,misc.quickDescription.expandDescription,({EXPAND}),({EXPAND}),({EXPAND}),
FALSE,Cello,misc.quickDescription.expandDescription.expand,Expand description...,Expand description...,Expandir descripcion...,
FALSE,Cello,misc.quickDescription.expandDescription.orReadMore,"({EXPAND}, or read more on {LINKS})","({EXPAND}, or read more on {LINKS})","({EXPAND}, o lea mas en {LINKS})",
FALSE,Cello,misc.quickDescription.expandDescription.orReadMore.expand,Expand description,Expand description,Expandir descripcion,
TRUE,Cello,misc.quickDescription.collapseDescription,({COLLAPSE}),({COLLAPSE}),({COLLAPSE}),
FALSE,Cello,misc.quickDescription.collapseDescription.collapse,Collapse description,Collapse description,Colapsar descripcion,
FALSE,Cello,misc.quickDescription.collapseDescription.orReadMore,"({COLLAPSE}, or read more on {LINKS})","({COLLAPSE}, or read more on {LINKS})","({COLLAPSE}, or lea mas en {LINKS})",
FALSE,Cello,misc.quickDescription.collapseDescription.orReadMore.collapse,Collapse description,Collapse description,Colapsar descripcion,
TRUE,"Niklink, Cello",misc.nav.previous,Previous,Previous,Anterior,
TRUE,"Niklink, Cello",misc.nav.next,Next,Next,Siguiente,
TRUE,"Niklink, Cello",misc.nav.info,Info,Info,Info,
TRUE,"Niklink, Cello",misc.nav.gallery,Gallery,Gallery,Galería,
TRUE,"Cello, Niklink",misc.pageTitle,{TITLE},{TITLE},{TITLE},
TRUE,Cello,misc.pageTitle.withSubtitle,{TITLE} - {SUBTITLE},{TITLE} - {SUBTITLE},{TITLE} - {SUBTITLE},
TRUE,"Cello, Niklink",misc.pageTitle.withWikiName,{TITLE} | {WIKI_NAME},{TITLE} | {WIKI_NAME},{TITLE} | {WIKI_NAME},
TRUE,Cello,misc.pageTitle.withSubtitle.withWikiName,{TITLE} - {SUBTITLE} | {WIKI_NAME},{TITLE} - {SUBTITLE} | {WIKI_NAME},{TITLE} - {SUBTITLE} | {WIKI_NAME},
FALSE,Cello,misc.search.placeholder,Search for anything,Search for anything,Buscando lo que sea,
FALSE,Cello,misc.search.preparing,Preparing...,Preparing...,Preparando...,
FALSE,Cello,misc.search.loadingData,Loading data...,Loading data...,Cargando data...,
FALSE,Cello,misc.search.searching,Searching...,Searching...,Buscando...,
FALSE,Cello,misc.search.failed,"There was an internal error, and your search couldn't be processed. Reloading this page and trying again may help. Sorry for the trouble!","There was an internal error, and your search couldn't be processed. Reloading this page and trying again may help. Sorry for the trouble!","Hubo un error interno, y tu búsqueda no pudo ser procesada. Recargar la página e intentando de nuevo puede que ayude. ¡Lamentamos el inconveniente!",
FALSE,Cello,misc.search.noResults,"No results for this query, sorry! Check spelling and use complete words.","No results for this query, sorry! Check spelling and use complete words.","¡Disculpa, no hay resultados para esta consulta! Revise ortografía y use palabras completas.",
FALSE,Cello,misc.search.currentResult,(you are here),(you are here),(tu estas aqui),
FALSE,Cello,misc.search.endSearch,"(OK, I'm done searching now.)","(OK, I'm done searching now.)","(Okay, búsqueda terminada por ahora.)",
FALSE,Cello,misc.search.resultKind.album,(album),(album),(album),
FALSE,Cello,misc.search.resultKind.artTag,(art tag),(art tag),(etiqueta de arte),
FALSE,Cello,misc.search.resultKind.artist,(artist),(artist),(artista),
FALSE,Cello,misc.search.resultKind.group,(group),(group),(grupo),
TRUE,"Lanolin, Cello",misc.skippers.skipTo,Skip to:,Skip to:,Saltar:,"These strings used to each include ""Skip to"". They're displayed in a more compact list now. -Lan"
TRUE,"Lanolin, Cello",misc.skippers.content,Content,Content,Contenido,"was ""Saltar al pie de página"", etc -Lan"
FALSE,Cello,misc.skippers.header,Header,Header,Encabezado,
TRUE,"Lanolin, Cello",misc.skippers.footer,Footer,Footer,Pie de página,
TRUE,"Lanolin, Cello",misc.skippers.sidebar,Sidebar,Sidebar,Barra lateral,"was ""Saltar a la barra lateral"", etc -Lan"
TRUE,"Lanolin, Cello",misc.skippers.sidebar.left,Sidebar (left),Sidebar (left),Barra lateral (izquierda),
TRUE,"Lanolin, Cello",misc.skippers.sidebar.right,Sidebar (right),Sidebar (right),Barra lateral (derecha),
FALSE,Cello,misc.skippers.artistCommentary,Artist commentary,Artist commentary,Comentario de artista,
FALSE,Cello,misc.skippers.creditSources,Crediting sources,Crediting sources,Fuentes de créditos,
FALSE,Cello,misc.skippers.tracks,Tracks,Tracks,Pistas,
FALSE,Cello,misc.skippers.artworks,Artworks,Artworks,Arte,
FALSE,Cello,misc.skippers.flashes,Flashes & Games,Flashes & Games,Animaciones & Juegos,
FALSE,Cello,misc.skippers.commentary,Commentary,Commentary,Comentario,
FALSE,Cello,misc.skippers.contributors,Contributors,Contributors,Colaboradores,
FALSE,Cello,misc.skippers.references,References...,References...,Referencias...,
FALSE,Cello,misc.skippers.referencedBy,Referenced by...,Referenced by...,Referenciado por...,
FALSE,Cello,misc.skippers.samples,Samples...,Samples...,Sampleos...,
FALSE,Cello,misc.skippers.sampledBy,Sampled by...,Sampled by...,Sampleado por...,
FALSE,Cello,misc.skippers.features,Features...,Features...,Apariciones...,
FALSE,Cello,misc.skippers.featuredIn,Featured in...,Featured in...,Aparece en...,
FALSE,Cello,misc.skippers.lyrics,Lyrics,Lyrics,Letras,
FALSE,Cello,misc.skippers.sheetMusicFiles,Sheet music files,Sheet music files,Partituras,
FALSE,Cello,misc.skippers.midiProjectFiles,MIDI/project files,MIDI/project files,MIDI/archivos de proyecto,
FALSE,Cello,misc.skippers.additionalFiles,Additional files,Additional files,Archivos adicionales,
TRUE,Cello,misc.socialEmbed.heading,{WIKI_NAME} | {HEADING},{WIKI_NAME} | {HEADING},{WIKI_NAME} | {HEADING},
FALSE,Cello,misc.trackArtFromAlbum,Album cover for {ALBUM},Album cover for {ALBUM},Caratula de portada para {ALBUM},
TRUE,"Niklink, Cello",misc.jumpTo,Jump to:,Jump to:,Saltar a:,
TRUE,"Niklink, Cello",misc.jumpTo.withLinks,Jump to: {LINKS}.,Jump to: {LINKS}.,Saltar a: {LINKS}.,
TRUE,Cello,misc.contentWarnings.warnings,{WARNINGS},{WARNINGS},{WARNINGS},
TRUE,"Niklink, Cello",misc.contentWarnings.reveal,click to show,click to show,haga clic para mostrar,
TRUE,Cello,misc.coverGrid.noCoverArt,{ALBUM},{ALBUM},{ALBUM},
TRUE,Cello,misc.coverGrid.details.accent,({DETAILS}),({DETAILS}),({DETAILS}),
TRUE,Cello,misc.coverGrid.details.albumLength,"{TRACKS}, {TIME}","{TRACKS}, {TIME}","{TRACKS}, {TIME}",
FALSE,Cello,misc.coverGrid.details.coverArtists,Artwork by {ARTISTS},Artwork by {ARTISTS},Arte por {ARTISTS},
FALSE,Cello,misc.coverGrid.details.otherCoverArtists,With {ARTISTS},With {ARTISTS},Con {ARTISTS},
TRUE,Cello,misc.albumGalleryGrid.noCoverArt,{NAME},{NAME},{NAME},
TRUE,"Cello, Niklink",misc.uiLanguage,UI Language: {LANGUAGES},UI Language: {LANGUAGES},Lenguaje de interfaz: {LANGUAGES},
TRUE,"Niklink, Cello",homepage.title,{TITLE},{TITLE},{TITLE},
TRUE,"Niklink, Cello",homepage.news.title,News,News,Noticias,
TRUE,"Niklink, Cello",homepage.news.entry.viewRest,(View rest of entry!),(View rest of entry!),¡Vea el resto del artículo!,
TRUE,"Niklink, Cello",albumSidebar.trackList.item,{TRACK},{TRACK},{TRACK},
FALSE,Cello,albumSidebar.trackList.fallbackSectionName,Track list,Track list,Lista de pistas,
TRUE,"Niklink, Cello",albumSidebar.trackList.group,{GROUP},{GROUP},{GROUP},
TRUE,"Niklink, Cello",albumSidebar.trackList.group.withRange,{GROUP} ({RANGE}),{GROUP} ({RANGE}),{GROUP} ({RANGE}),
TRUE,"Niklink, Cello",albumSidebar.groupBox.title,{GROUP},{GROUP},{GROUP},
TRUE,"Niklink, Cello",albumSidebar.groupBox.next,Next: {ALBUM},Next: {ALBUM},Siguiente: {ALBUM},
TRUE,"Niklink, Cello",albumSidebar.groupBox.previous,Previous: {ALBUM},Previous: {ALBUM},Anterior: {ALBUM},
TRUE,Cello,albumSecondaryNav.group,{GROUP},{GROUP},{GROUP},
TRUE,Cello,albumSecondaryNav.group.withPreviousNext,{GROUP} ({PREVIOUS_NEXT}),{GROUP} ({PREVIOUS_NEXT}),{GROUP} ({PREVIOUS_NEXT}),
TRUE,Cello,albumSecondaryNav.series,{SERIES},{SERIES},{SERIES},
TRUE,Cello,albumSecondaryNav.series.withPreviousNext,{SERIES} ({PREVIOUS_NEXT}),{SERIES} ({PREVIOUS_NEXT}),{SERIES} ({PREVIOUS_NEXT}),
TRUE,"Niklink, Cello",albumPage.title,{ALBUM},{ALBUM},{ALBUM},
TRUE,"Niklink, Cello",albumPage.nav.album,{ALBUM},{ALBUM},{ALBUM},
FALSE,Cello,albumPage.nav.backToAlbum,Return to album page,Return to album page,Volver a la página del álbum,
TRUE,"Niklink, Cello",albumPage.nav.randomTrack,Random Track,Random Track,Pista Aleatoria,
FALSE,Cello,albumPage.nav.gallery,Gallery,Gallery,Galeria,
FALSE,Cello,albumPage.nav.commentary,Commentary,Commentary,Comentario,
TRUE,Cello,albumPage.socialEmbed.heading,{GROUP},{GROUP},{GROUP},
TRUE,Cello,albumPage.socialEmbed.title,{ALBUM},{ALBUM},{ALBUM},
TRUE,Cello,albumPage.socialEmbed.body.withDuration,{DURATION}.,{DURATION}.,{DURATION}.,
TRUE,Cello,albumPage.socialEmbed.body.withTracks,{TRACKS}.,{TRACKS}.,{TRACKS}.,
FALSE,Cello,albumPage.socialEmbed.body.withReleaseDate,Released {DATE}.,Released {DATE}.,Publicado {DATE}.,
TRUE,Cello,albumPage.socialEmbed.body.withDuration.withTracks,"{DURATION}, {TRACKS}.","{DURATION}, {TRACKS}.","{DURATION}, {TRACKS}.",
FALSE,Cello,albumPage.socialEmbed.body.withDuration.withReleaseDate,{DURATION}. Released {DATE}.,{DURATION}. Released {DATE}.,{DURATION}. Publicado {DATE}.,
FALSE,Cello,albumPage.socialEmbed.body.withTracks.withReleaseDate,{TRACKS}. Released {DATE}.,{TRACKS}. Released {DATE}.,{TRACKS}. Publicado {DATE}.,
FALSE,Cello,albumPage.socialEmbed.body.withDuration.withTracks.withReleaseDate,"{DURATION}, {TRACKS}. Released {DATE}.","{DURATION}, {TRACKS}. Released {DATE}.","{DURATION}, {TRACKS}. Publicado {DATE}.",
FALSE,Cello,albumGalleryPage.title,{ALBUM} - Gallery,{ALBUM} - Gallery,{ALBUM} - Galeria,
FALSE,Cello,albumGalleryPage.statsLine,{TRACKS} totaling {DURATION}.,{TRACKS} totaling {DURATION}.,{TRACKS} por un total de {DURATION}.,
FALSE,Cello,albumGalleryPage.statsLine.withDate,{TRACKS} totaling {DURATION}. Released {DATE}.,{TRACKS} totaling {DURATION}. Released {DATE}.,{TRACKS} por un total de {DURATION}. Publicado {DATE}.,
FALSE,Cello,albumGalleryPage.coverArtistsLine,All track artwork by {ARTISTS}.,All track artwork by {ARTISTS}.,Toda la arte de pistas por {ARTISTS}.,
FALSE,Cello,albumGalleryPage.noTrackArtworksLine,This album doesn't have any track artwork.,This album doesn't have any track artwork.,Este álbum no tiene arte de pistas.,
TRUE,"Niklink, Cello",albumCommentaryPage.title,{ALBUM} - Commentary,{ALBUM} - Commentary,{ALBUM} - Comentario,
TRUE,"Niklink, Cello",albumCommentaryPage.nav.album,Album: {ALBUM},Album: {ALBUM},Álbum: {ALBUM},
TRUE,"Niklink, Cello",albumCommentaryPage.infoLine,{WORDS} across {ENTRIES}.,{WORDS} across {ENTRIES}.,{WORDS} en {ENTRIES}.,
TRUE,"Lanolin, Cello",albumCommentaryPage.entry.title.albumCommentary,{ALBUM},{ALBUM},{ALBUM},
FALSE,Cello,albumCommentaryPage.entry.title.albumCommentary.sticky,{ALBUM} (album commentary),{ALBUM} (album commentary),{ALBUM} (comentario de album),
FALSE,Cello,albumCommentaryPage.entry.title.albumCommentary.accent,Listen on: {LISTENING_LINKS},Listen on: {LISTENING_LINKS},Escucha en: {LISTENING_LINKS},
TRUE,"Niklink, Cello",albumCommentaryPage.entry.title.trackCommentary,{TRACK},{TRACK},{TRACK},
FALSE,Cello,albumCommentaryPage.entry.title.trackCommentary.accent,Listen on: {LISTENING_LINKS},Listen on: {LISTENING_LINKS},Escucha en: {LISTENING_LINKS},
TRUE,"Niklink, Cello",artistPage.title,{ARTIST},{ARTIST},{ARTIST},
TRUE,"Niklink, Cello",artistPage.nav.artist,Artist: {ARTIST},Artist: {ARTIST},Artista: {ARTIST},
FALSE,Cello,artistPage.closelyLinkedGroups.one,This artist has a group page: {GROUP}.,This artist has a group page: {GROUP}.,Este artista tiene una página de grupo: {GROUP}.,
FALSE,Cello,artistPage.closelyLinkedGroups.multiple,This artist has group pages: {GROUPS}.,This artist has group pages: {GROUPS}.,Este artista tiene páginas de grupos: {GROUPS}.,
TRUE,Cello,artistPage.closelyLinkedGroups.group,{GROUP},{GROUP},{GROUP},
TRUE,Cello,artistPage.closelyLinkedGroups.group.withAnnotation,{GROUP} ({ANNOTATION}),{GROUP} ({ANNOTATION}),{GROUP} ({ANNOTATION}),
FALSE,Cello,artistPage.closelyLinkedGroups.alias,This artist is an alias of {GROUPS}.,This artist is an alias of {GROUPS}.,Este artista es un alias de {GROUPS}.,
TRUE,"Niklink, Cello",artistPage.creditList.album,{ALBUM},{ALBUM},{ALBUM},
TRUE,"Niklink, Cello",artistPage.creditList.album.withDate,{ALBUM} ({DATE}),{ALBUM} ({DATE}),{ALBUM} ({DATE}),
TRUE,Cello,artistPage.creditList.album.withDuration,{ALBUM} ({DURATION}),{ALBUM} ({DURATION}),{ALBUM} ({DURATION}),
TRUE,"Niklink, Cello",artistPage.creditList.album.withDate.withDuration,{ALBUM} ({DATE}; {DURATION}),{ALBUM} ({DATE}; {DURATION}),{ALBUM} ({DATE}; {DURATION}),
TRUE,"Niklink, Cello",artistPage.creditList.flashAct,{ACT},{ACT},{ACT},
TRUE,Cello,artistPage.creditList.flashAct.withDate,{ACT} ({DATE}),{ACT} ({DATE}),{ACT} ({DATE}),
TRUE,"Niklink, Cello",artistPage.creditList.flashAct.withDateRange,{ACT} ({DATE_RANGE}),{ACT} ({DATE_RANGE}),{ACT} ({DATE_RANGE}),
TRUE,"Niklink, Cello",artistPage.creditList.entry.withAnnotation,{ENTRY} ({ANNOTATION}),{ENTRY} ({ANNOTATION}),{ENTRY} ({ANNOTATION}),
TRUE,"Niklink, Cello",artistPage.creditList.entry.withArtists,{ENTRY} (with {ARTISTS}),{ENTRY} (with {ARTISTS}),{ENTRY} (con {ARTISTS}),
TRUE,"Niklink, Cello",artistPage.creditList.entry.withArtists.withAnnotation,{ENTRY} ({ANNOTATION}; with {ARTISTS}),{ENTRY} ({ANNOTATION}; with {ARTISTS}),{ENTRY} ({ANNOTATION}; con {ARTISTS}),
TRUE,"Niklink, Cello",artistPage.creditList.entry.rerelease,{ENTRY} (rerelease),{ENTRY} (rerelease),{ENTRY} (relanzamiento),
TRUE,"Niklink, Cello",artistPage.creditList.entry.track,{TRACK},{TRACK},{TRACK},
TRUE,"Niklink, Cello",artistPage.creditList.entry.track.withDuration,({DURATION}) {TRACK},({DURATION}) {TRACK},({DURATION}) {TRACK},
TRUE,"Niklink, Cello",artistPage.creditList.entry.album.coverArt,(cover art),(cover art),(carátula),
TRUE,"Niklink, Cello",artistPage.creditList.entry.album.wallpaperArt,(wallpaper art),(wallpaper art),(fondo),
TRUE,"Niklink, Cello",artistPage.creditList.entry.album.bannerArt,(banner art),(banner art),(banner),
TRUE,"Niklink, Cello",artistPage.creditList.entry.album.commentary,(album commentary),(album commentary),(comentario del álbum),
TRUE,"Niklink, Cello",artistPage.creditList.entry.flash,{FLASH},{FLASH},{FLASH},
TRUE,"Niklink, Cello",artistPage.contributedDurationLine,{ARTIST} has contributed {DURATION} of music shared on this wiki.,{ARTIST} has contributed {DURATION} of music shared on this wiki.,{ARTIST} ha contribuido {DURATION} de música compartido en este wiki.,
TRUE,"Lanolin, Cello",artistPage.groupContributions.title.music,Contributed music to groups:,Contributed music to groups:,Contribuyó música a estos grupos:,
TRUE,"Niklink, Cello",artistPage.groupContributions.title.artworks,Contributed art to groups:,Contributed art to groups:,Contribuyó arte a estos grupos:,
TRUE,Cello,artistPage.groupContributions.title.withSortButton,{TITLE} ({SORT}),{TITLE} ({SORT}),{TITLE} ({SORT}),
FALSE,Cello,artistPage.groupContributions.title.sorting.count,Sorting by count.,Sorting by count.,En orden de cuenta.,
FALSE,Cello,artistPage.groupContributions.title.sorting.duration,Sorting by duration.,Sorting by duration.,En orden de duración.,
TRUE,Cello,artistPage.groupContributions.item.countAccent,({COUNT}),({COUNT}),({COUNT}),
TRUE,Cello,artistPage.groupContributions.item.durationAccent,({DURATION}),({DURATION}),({DURATION}),
TRUE,Cello,artistPage.groupContributions.item.countDurationAccent,({COUNT} — {DURATION}),({COUNT} — {DURATION}),({COUNT} — {DURATION}),
TRUE,Cello,artistPage.groupContributions.item.durationCountAccent,({DURATION} — {COUNT}),({DURATION} — {COUNT}),({DURATION} — {COUNT}),
TRUE,"Niklink, Cello",artistPage.trackList.title,Tracks,Tracks,Pistas,
TRUE,"Niklink, Cello",artistPage.artList.title,Art,Art,Arte,
TRUE,"Niklink, Cello",artistPage.flashList.title,Flashes & Games,Flashes & Games,Flashes & Juegos,
TRUE,"Niklink, Cello",artistPage.commentaryList.title,Commentary,Commentary,Comentario,
TRUE,"Niklink, Cello",artistPage.viewArtGallery,View {LINK}!,View {LINK}!,¡Véase {LINK}!,
TRUE,"Niklink, Cello",artistPage.viewArtGallery.orBrowseList,View {LINK}! Or browse the list:,View {LINK}! Or browse the list:,¡Véase {LINK}! O navegue la lista:,
TRUE,"Niklink, Cello",artistPage.viewArtGallery.link,art gallery,art gallery,galería de arte,
FALSE,Cello,artistPage.wikiEditArtworks,{ARTIST} has edited these artworks for this wiki:,{ARTIST} has edited these artworks for this wiki:,{ARTIST} ha editado este arte para esta wikia:,
TRUE,"Niklink, Cello",artistGalleryPage.title,{ARTIST} - Gallery,{ARTIST} - Gallery,{ARTIST} - Galería,
TRUE,"Niklink, Cello",artistGalleryPage.infoLine,Contributed to {COVER_ARTS}.,Contributed to {COVER_ARTS}.,Contribuyó a {COVER_ARTS}.,
TRUE,"Niklink, Cello",commentaryIndex.title,Commentary,Commentary,Comentario,
TRUE,"Niklink, Cello",commentaryIndex.infoLine,"{WORDS} across {ENTRIES}, in all.","{WORDS} across {ENTRIES}, in all.",{WORDS} en {ENTRIES} en total.,
TRUE,"Niklink, Cello",commentaryIndex.albumList.title,Choose an album:,Choose an album:,Escoge un álbum:,
TRUE,"Niklink, Cello",commentaryIndex.albumList.item,{ALBUM} ({WORDS} across {ENTRIES}),{ALBUM} ({WORDS} across {ENTRIES}),{ALBUM} ({WORDS} en {ENTRIES}),
TRUE,"Niklink, Cello",flashIndex.title,Flashes & Games,Flashes & Games,Flashes & Juegos,
FALSE,Cello,flashSidebar.flashList.entriesInThisSection,Entries in this section,Entries in this section,Entradas en esta sección:,
TRUE,"Niklink, Cello",flashPage.title,{FLASH},{FLASH},{FLASH},
TRUE,"Niklink, Cello",flashPage.nav.flash,{FLASH},{FLASH},{FLASH},
TRUE,"Niklink, Cello",groupSidebar.title,Groups,Groups,Grupos,
TRUE,"Niklink, Cello",groupSidebar.groupList.category,{CATEGORY},{CATEGORY},{CATEGORY},
TRUE,"Niklink, Cello",groupSidebar.groupList.item,{GROUP},{GROUP},{GROUP},
TRUE,"Niklink, Cello",groupPage.nav.group,Group: {GROUP},Group: {GROUP},Grupo: {GROUP},
TRUE,Cello,groupPage.secondaryNav.category,{CATEGORY},{CATEGORY},{CATEGORY},
TRUE,Cello,groupPage.secondaryNav.category.withPreviousNext,{CATEGORY} ({PREVIOUS_NEXT}),{CATEGORY} ({PREVIOUS_NEXT}),{CATEGORY} ({PREVIOUS_NEXT}),
TRUE,"Niklink, Cello",groupInfoPage.title,{GROUP},{GROUP},{GROUP},
