Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,,count.words.withUnit.zero,,,,
FALSE,ruby,count.words.withUnit.one,{WORDS} word,{WORDS} word,{WORDS} woord,
FALSE,,count.words.withUnit.two,,,,
FALSE,,count.words.withUnit.few,,,,
FALSE,,count.words.withUnit.many,,,,
FALSE,ruby,count.words.withUnit.other,{WORDS} words,{WORDS} words,{WORDS} woorden,
FALSE,,count.years,{YEARS},{YEARS},,
FALSE,,count.years.withUnit.zero,,,,
FALSE,ruby,count.years.withUnit.one,{YEARS} year,{YEARS} year,{YEARS} jaar,
FALSE,,count.years.withUnit.two,,,,
FALSE,,count.years.withUnit.few,,,,
FALSE,,count.years.withUnit.many,,,,
FALSE,ruby,count.years.withUnit.other,{YEARS} years,{YEARS} years,{YEARS} jaar,
FALSE,,count.duration.missing,_:__,_:__,,
FALSE,,count.duration.approximate,~{DURATION},~{DURATION},,
FALSE,,count.duration.hours,{HOURS}:{MINUTES}:{SECONDS},{HOURS}:{MINUTES}:{SECONDS},,
FALSE,ruby,count.duration.hours.withUnit,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} uur,
FALSE,,count.duration.minutes,{MINUTES}:{SECONDS},{MINUTES}:{SECONDS},,
FALSE,ruby,count.duration.minutes.withUnit,{MINUTES}:{SECONDS} minutes,{MINUTES}:{SECONDS} minutes,{MINUTES}:{SECONDS} minuten,
FALSE,ruby,count.dateDuration.earlier,{DURATION} earlier,{DURATION} earlier,{DURATION} eerder,
FALSE,ruby,count.dateDuration.later,{DURATION} later,{DURATION} later,{DURATION} later,
FALSE,ruby,count.dateDuration.same,on the same date,on the same date,op dezelfde datum,
FALSE,ruby,count.dateDuration.zero,at most one day,at most one day,hoogstens één dag,
FALSE,ruby,count.dateDuration.approximate,about {DURATION},about {DURATION},ongeveer {DURATION},
FALSE,ruby,count.dateDuration.approximateEarlier,about {DURATION} earlier,about {DURATION} earlier,ongeveer {DURATION} eerder,
FALSE,ruby,count.dateDuration.approximateLater,about {DURATION} later,about {DURATION} later,ongeveer {DURATION} later,
FALSE,,count.dateDuration.relativeAbsolute,{ABSOLUTE}; {RELATIVE},{ABSOLUTE}; {RELATIVE},,
FALSE,,count.dateDuration.years,{YEARS},{YEARS},,
FALSE,,count.dateDuration.months,{MONTHS},{MONTHS},,
FALSE,,count.dateDuration.days,{DAYS},{DAYS},,
FALSE,,count.dateDuration.yearsMonthsDays,"{YEARS}, {MONTHS}, {DAYS}","{YEARS}, {MONTHS}, {DAYS}",,
FALSE,,count.dateDuration.yearsMonths,"{YEARS}, {MONTHS}","{YEARS}, {MONTHS}",,
FALSE,,count.dateDuration.yearsDays,"{YEARS}, {DAYS}","{YEARS}, {DAYS}",,
FALSE,,count.dateDuration.monthsDays,"{MONTHS}, {DAYS}","{MONTHS}, {DAYS}",,
FALSE,,count.fileSize.terabytes,{TERABYTES} TB,{TERABYTES} TB,,
FALSE,,count.fileSize.gigabytes,{GIGABYTES} GB,{GIGABYTES} GB,,
FALSE,,count.fileSize.megabytes,{MEGABYTES} MB,{MEGABYTES} MB,,
FALSE,,count.fileSize.kilobytes,{KILOBYTES} kB,{KILOBYTES} kB,,
FALSE,,count.fileSize.bytes,{BYTES} bytes,{BYTES} bytes,,
FALSE,,count.index.zero,,,,
FALSE,,count.index.one,{INDEX}st,{INDEX}st,,
FALSE,,count.index.two,{INDEX}nd,{INDEX}nd,,
FALSE,,count.index.few,{INDEX}rd,{INDEX}rd,,
FALSE,,count.index.many,,,,
FALSE,ruby,count.index.other,{INDEX}th,{INDEX}th,{INDEX}e,
FALSE,,releaseInfo.by,By {ARTISTS}.,By {ARTISTS}.,,
FALSE,,releaseInfo.by.featuring,"By {ARTISTS}, featuring {FEATURING}.","By {ARTISTS}, featuring {FEATURING}.",,
FALSE,,releaseInfo.from,From {ALBUM}.,From {ALBUM}.,,
FALSE,,releaseInfo.coverArtBy,Cover art by {ARTISTS}.,Cover art by {ARTISTS}.,,
FALSE,,releaseInfo.wallpaperArtBy,Wallpaper art by {ARTISTS}.,Wallpaper art by {ARTISTS}.,,
FALSE,,releaseInfo.bannerArtBy,Banner art by {ARTISTS}.,Banner art by {ARTISTS}.,,
FALSE,ruby,releaseInfo.released,Released {DATE}.,Released {DATE}.,Uitgebracht op {DATE}.,
FALSE,,releaseInfo.artReleased,Art released {DATE}.,Art released {DATE}.,,
FALSE,ruby,releaseInfo.addedToWiki,Added to wiki {DATE}.,Added to wiki {DATE}.,Toegevoegd aan wiki {DATE}.,
FALSE,ruby,releaseInfo.duration,Duration: {DURATION}.,Duration: {DURATION}.,Duur: {DURATION},
FALSE,,releaseInfo.contributors,Contributors:,Contributors:,,
FALSE,ruby,releaseInfo.lyrics,Lyrics:,Lyrics:,Songteksten:,
FALSE,,releaseInfo.note,Context notes:,Context notes:,,
FALSE,ruby,releaseInfo.alsoReleasedAs,Also released as:,Also released as:,Ook uitgebracht als:,
FALSE,ruby,releaseInfo.alsoReleasedAs.item,{TRACK} ({ALBUM}),{TRACK} ({ALBUM}),{TRACK} ({ALBUM}),
FALSE,ruby,releaseInfo.alsoReleasedAs.item.withYear,({YEAR}) {TRACK} ({ALBUM}),({YEAR}) {TRACK} ({ALBUM}),({YEAR}) {TRACK} ({ALBUM}),
FALSE,ruby,releaseInfo.tracksReferenced,Tracks that {TRACK} references:,Tracks that {TRACK} references:,Nummers waar {TRACK} naar verwijst:,
FALSE,ruby,releaseInfo.tracksReferenced.sticky,Tracks that this one references:,Tracks that this one references:,Nummers die dit nummer naar verwijst:,
FALSE,ruby,releaseInfo.tracksSampled,Tracks that {TRACK} samples:,Tracks that {TRACK} samples:,Nummers die door {TRACK} worden gesampled:,
FALSE,ruby,releaseInfo.tracksSampled.sticky,Tracks that this one samples:,Tracks that this one samples:,Nummers die door dit nummer worden gesampled:,
FALSE,ruby,releaseInfo.tracksThatReference,Tracks that reference {TRACK}:,Tracks that reference {TRACK}:,Nummers die naar {TRACK} verwijzen:,
FALSE,ruby,releaseInfo.tracksThatReference.sticky,Tracks that reference this one:,Tracks that reference this one:,Nummers die naar dit nummer verwijzen:,
FALSE,ruby,releaseInfo.tracksThatReference.sticky.fromGroup,Tracks from {GROUP} that reference this one:,Tracks from {GROUP} that reference this one:,Nummers van {GROUP} die naar dit nummer verwijzen:,
FALSE,ruby,releaseInfo.tracksThatReference.sticky.fromOther,Tracks from somewhere else that reference this one:,Tracks from somewhere else that reference this one:,Nummers van ergens anders die naar dit nummer verwijzen:,
